Agent ID,Agent Name,Sales Region,Total Sales,Date
4652,Agent_1,West,19778,2023-01-01
2736,Agent_2,East,10677,2023-01-02
,Agent_3,North,83710,2023-01-03
5723,Agent_4,South,,2023-01-04
2977,Agent_5,West,25097,2023-01-05
4892,,South,99907,2023-01-06
,Agent_7,East,84146,2023-01-07
2570,Agent_8,West,70995,2023-01-08
4407,,South,61732,2023-01-09
7684,Agent_10,East,78569,2023-01-10
,Agent_11,East,25297,2023-01-11
6692,Agent_43,South,14109,2023-01-12
ini,Agent_13,North,93095,2023-01-13
9230,Agent_14,South,13736,2023-01-14
8994,Agent_15,North,96938,2023-01-15
,Agent_16,West,92752,2023-01-16
1452,Agent_17,West,,2023-01-17
8298,Agent_18,East,83594,2023-01-18
apa,Agent_19,North,27447,2023-01-19
1168,Agent_20,East,31390,2023-01-20
